Years,Japan,Philippines
1960,47419238274,7515894111
1961,57266758180,8171194425
1962,64987857542,4954593072
1963,74379284603,5505023238
1964,87490590818,5953756195
1965,97338107606,6517349772
1966,1.13E+11,7189017888
1967,1.32E+11,7724873935
1968,1.57E+11,8632749269
1969,1.84E+11,9571800653
1970,2.17E+11,7559115517
1971,2.45E+11,8375075630
1972,3.25E+11,9067815521
1973,4.41E+11,11412449735
1974,4.90E+11,15607882555
1975,5.33E+11,16875240684
1976,5.99E+11,19381055197
1977,7.37E+11,22283109803
1978,1.04E+12,25762224563
1979,1.08E+12,31218296292
1980,1.13E+12,36848080899
1981,1.25E+12,40499388869
1982,1.16E+12,42206011275
1983,1.27E+12,37759179895
1984,1.35E+12,35730185634
1985,1.43E+12,34961486348
1986,2.12E+12,33987207295
1987,2.58E+12,37791488666
1988,3.13E+12,43152128959
1989,3.11E+12,48513773721
1990,3.19E+12,50508286642
1991,3.65E+12,51784144943
1992,3.98E+12,60422328242
1993,4.54E+12,62036529147
1994,5.00E+12,73159336915
1995,5.55E+12,84644328727
1996,4.92E+12,94648084429
1997,4.49E+12,94106317565
1998,4.10E+12,74492416330
1999,4.64E+12,85640171045
2000,4.97E+12,83669788377
2001,4.37E+12,78921234458
2002,4.18E+12,84307345888
2003,4.52E+12,87039092974
2004,4.89E+12,95001999685
2005,4.83E+12,1.07E+11
2006,4.60E+12,1.28E+11
2007,4.58E+12,1.56E+11
2008,5.11E+12,1.82E+11
2009,5.29E+12,1.76E+11
2010,5.76E+12,2.08E+11
2011,6.23E+12,2.34E+11
2012,6.27E+12,2.62E+11
2013,5.21E+12,2.84E+11
2014,4.90E+12,2.97E+11
2015,4.44E+12,3.06E+11
2016,5.00E+12,3.19E+11
2017,4.93E+12,3.28E+11
2018,5.04E+12,3.47E+11
2019,5.12E+12,3.77E+11
2020,5.05E+12,3.62E+11
2021,5.04E+12,3.94E+11
2022,4.26E+12,4.04E+11
2023,4.21E+12,4.37E+11
2024,4.03E+12,4.62E+11
